"Story","Title","Result","Date","Stability","Duration (s)"
"Register New Member","Verify register new member with valid data","SUCCESS","2022-11-11T22:35:18.342+07:00[Asia/Bangkok]","0.0","10.94"
"Register New Member","Verify register new member with valid email format","SUCCESS","2022-11-11T22:52:11.893+07:00[Asia/Bangkok]","0.0","37.93"
"Register New Member","Verify register new member with already registered email","SUCCESS","2022-11-11T22:52:50.578+07:00[Asia/Bangkok]","0.0","44.11"
"Register New Member","Verify register new member with invalid email format","SUCCESS","2022-11-11T22:53:35.367+07:00[Asia/Bangkok]","0.0","5.12"
"Register New Member","Verify email field is case sensitive","SUCCESS","2022-11-11T22:53:41.157+07:00[Asia/Bangkok]","0.0","5.36"
"Register New Member","Verify register new member with less than allowed characters ammount on field email","SUCCESS","2022-11-11T22:53:56.633+07:00[Asia/Bangkok]","0.0","6.67"
"Register New Member","Verify register new member with blank on field email","SUCCESS","2022-11-11T22:54:13.18+07:00[Asia/Bangkok]","0.0","5.44"
"Register New Member","Verify if email field is interactable","SUCCESS","2022-11-11T22:54:27.216+07:00[Asia/Bangkok]","0.0","4.33"
"Register New Member","Verify if Role field is interactable","SUCCESS","2022-11-11T22:54:37.238+07:00[Asia/Bangkok]","0.0","4.52"
"Register New Member","Verify if Role is mandatory","SUCCESS","2022-11-11T22:54:47.842+07:00[Asia/Bangkok]","0.0","5.02"
"Register New Member","Verify if selected role is correct","SUCCESS","2022-11-11T22:54:53.657+07:00[Asia/Bangkok]","0.0","5.05"
"Register New Member","Verify if Class field is interactable","SUCCESS","2022-11-11T22:55:04.667+07:00[Asia/Bangkok]","0.0","4.49"
"Register New Member","Verify register new member with valid password format","SUCCESS","2022-11-11T22:55:40.139+07:00[Asia/Bangkok]","0.0","7.53"
"Register New Member","Verify register new member with more than allowed characters ammount on field password","SUCCESS","2022-11-11T22:55:57.135+07:00[Asia/Bangkok]","0.0","5.33"
"Register New Member","Verify register new member with blank on field password","SUCCESS","2022-11-11T22:56:03.307+07:00[Asia/Bangkok]","0.0","5.6"
"Register New Member","Verify register new member with Emoji on field password","SUCCESS","2022-11-11T22:56:17.751+07:00[Asia/Bangkok]","0.0","5.49"
"Register New Member","Verify register new member without uppercase on field password","SUCCESS","2022-11-11T22:56:30.019+07:00[Asia/Bangkok]","0.0","5.6"
"Register New Member","Verify register new member without numeric on field password","SUCCESS","2022-11-11T22:56:36.487+07:00[Asia/Bangkok]","0.0","5.21"
"Register New Member","Verify account button label","SUCCESS","2022-11-11T22:57:11.621+07:00[Asia/Bangkok]","0.0","4.11"
"Register New Member","Verify pop up message when successfully register new users","SUCCESS","2022-11-11T22:57:16.412+07:00[Asia/Bangkok]","0.0","5.54"
"Register New Member","Verify navigation trough field using TAB and SHIFT+TAB","SUCCESS","2022-11-11T22:57:31.174+07:00[Asia/Bangkok]","0.0","5.68"
"Register New Member","Verify register new member with number on field name","SUCCESS","2022-11-12T01:30:19.025+07:00[Asia/Bangkok]","0.0","15.12"
"Register New Member","Verify register new member with special character on field name","SUCCESS","2022-11-12T01:30:35.748+07:00[Asia/Bangkok]","0.0","8.21"
"Register New Member","Verify register new member with less than allowed characters ammount on field name","SUCCESS","2022-11-12T01:30:45.469+07:00[Asia/Bangkok]","0.0","9.95"
"Register New Member","Verify register new member with more than allowed characters ammount on field name","SUCCESS","2022-11-12T01:30:56.835+07:00[Asia/Bangkok]","0.0","8.72"
"Register New Member","Verify register new member with Single Space on field name","SUCCESS","2022-11-12T01:31:19.139+07:00[Asia/Bangkok]","0.0","8.56"
"Register New Member","Verify if name field is case sensitive","SUCCESS","2022-11-12T01:36:23.755+07:00[Asia/Bangkok]","0.0","11.74"
"Register New Member","Verify register new member with special character on field email","SUCCESS","2022-11-12T01:36:37.31+07:00[Asia/Bangkok]","0.0","10.43"
"Register New Member","Verify default email field placeholder","SUCCESS","2022-11-12T01:36:49.198+07:00[Asia/Bangkok]","0.0","11.81"
"Register New Member","Verify if Class field can not be typed directly","SUCCESS","2022-11-12T01:37:22.784+07:00[Asia/Bangkok]","0.0","19.55"
"Register New Member","Verify if Class is mandatory","SUCCESS","2022-11-12T01:37:43.939+07:00[Asia/Bangkok]","0.0","30.69"
"Register New Member","Verify if selected Class is correct","SUCCESS","2022-11-12T01:38:16.308+07:00[Asia/Bangkok]","0.0","25.5"
"Register New Member","Verify Class placeholder","SUCCESS","2022-11-12T01:38:43.681+07:00[Asia/Bangkok]","0.0","7.94"
